file	aws	azure	google	ibm	nemo	rev	whisper	whispercpp	nsp
richards	3.9	3.9	2.8	8.2	2.8	2.8	3.4	7.1	1
robinson1	3.0	2.8	5.0	4.2	4.1	2.5	2.6	3.6	1
robinson2	4.4	4.1	5.5	4.9	5.0	3.9	3.5	4.2	1
robinson3	3.6	3.2	3.9	5.2	4.2	2.9	2.9	5.3	1
rothenberg	10.8	11.0	13.2	15.1	12.4	9.6	11.9	19.5	4
scalapino1	4.4	5.2	3.8	8.6	4.2	4.1	3.5	4.5	1
scalapino2	14.7	20.6	15.3	20.6	21.9	13.0	15.4	17.1	4
sherlock	6.4	6.4	6.7	7.4	6.5	6.9	6.6	7.6	1
silliman1	4.6	5.9	5.1	9.3	7.0	4.6	6.5	6.2	3
silliman2	8.0	7.8	8.3	12.6	6.5	7.5	11.8	7.0	1
silliman3	8.1	9.2	8.0	12.1	7.4	7.2	7.5	8.0	1
smith	6.3	6.8	6.7	7.5	8.6	5.4	5.0	5.7	1
spahr	6.8	6.1	6.2	7.1	6.9	5.0	5.7	5.9	1
sze	6.9	5.1	6.8	8.7	5.5	5.5	3.9	4.4	1
templeton	20.7	17.6	14.8	21.2	17.8	16.0	41.5	17.0	2
torres	24.8	24.8	26.5	31.6	32.6	22.8	30.4	39.6	2
towle	6.9	7.8	8.8	12.2	5.7	6.1	5.3	6.6	1
wisher	4.7	5.3	6.0	7.8	6.2	5.4	3.9	4.5	1
yau	5.5	6.0	7.4	10.7	4.4	4.5	3.6	4.9	1
