file	aws	azure	google	ibm	nemo	rev	whisper	whispercpp	nsp	snr	unintelligible	overlap
JarnotEx1	0.3	0.4	1.2	0.7	2.4	0.3	0.7	0.8	1	22.95	13	0
JorisEx1	3.0	3.7	6.2	79.2	2.7	4.3	2.5	3.9	1	7.42	120	0
KimmelmanEx1	2.8	5.4	4.6	3.8	8.8	2.7	3.3	3.9	2	21.56	7	0.188
KinsellaEx1	1.0	2.7	1.7	3.0	2.4	2.6	2.0	2.6	1	9.61	18	0
KygerEx1	10.6	11.3	10.1	12.8	9.3	5.6	7.3	6.7	5	-8.21	173	54.614
Lauterbach1Ex1	1.2	2.2	3.2	2.4	3.9	2.1	2.2	3.3	1	15.01	9	0
Lauterbach2Ex1	1.4	2.1	1.6	2.1	5.2	1.2	3.7	7.0	1	6.7	10	0
LevyEx1	0.7	0.8	1.8	1.2	2.0	0.9	2.2	1.3	1	6.09	22	0
MirakoveEx1	1.0	0.5	1.2	1.3	2.0	0.9	1.1	1.3	1	15.91	13	0
MooreEx1	0.0	0.1	1.4	0.5	0.5	0.9	0.0	0.6	1	14.41	7	0
MoxleyEx1	5.0	3.6	4.5	3.5	4.1	3.8	1.9	3.1	1	-0.39	33	0
OppenEx1	3.2	3.8	4.8	5.7	3.7	3.9	1.7	4.0	1	-0.12	73	0
Phillytalks1Ex1	7.8	9.5	9.5	13.3	13.6	6.0	8.6	10.7	4	5.58	24	35.525
Phillytalks10Ex1	0.9	1.3	1.1	1.8	1.4	1.0	1.5	1.1	2	19.39	9	0
Phillytalks3Ex1	1.1	2.7	2.0	2.2	6.4	1.9	5.7	5.9	2	10.56	32	1.174
Phillytalks5Ex1	8.1	11.4	8.7	10.4	13.3	5.1	10.2	7.4	3	20.13	19	4.079
PiombinoEx1	1.1	0.6	1.5	0.9	1.7	0.6	1.4	2.0	1	10.42	6	0
PoemtalkEx1	5.7	4.9	3.9	5.1	9.5	3.2	5.5	5.5	4	20.0	38	18.753
RaworthEx1	0.8	1.3	4.0	2.3	1.4	1.1	1.1	1.6	1	16.69	64	0
RetalackEx1	8.0	10.3	10.8	10.9	15.0	10.4	13.9	14.0	7	8.93	61	21.361
ReznikoffEx1	1.2	2.4	2.5	3.1	3.1	3.0	2.1	2.5	1	11.04	19	0
RichardsEx1	0.3	0.2	0.6	0.3	1.2	0.3	0.8	1.1	1	28.17	10	0
Robinson1Ex1	0.8	0.5	1.9	0.6	2.6	1.0	0.9	1.7	1	20.75	9	0
Robinson2Ex1	0.7	1.3	2.5	1.4	3.3	1.1	1.3	1.6	1	23.22	6	0
Robinson3Ex1	0.1	0.7	0.9	1.1	1.3	0.6	0.8	2.7	1	24.18	8	0
